ticker,first_date,last_date,row_count
7102.T,2003-01-02,2026-03-13,5756
7186.T,2016-04-01,2026-03-13,2451
7201.T,2003-01-02,2026-03-13,5756
7202.T,2003-01-02,2026-03-13,5756
7203.T,2003-01-02,2026-03-13,5756
7205.T,2003-01-02,2026-03-13,5756
7211.T,2003-01-02,2026-03-13,5756
7231.T,2003-01-02,2026-03-13,5756
7261.T,2003-01-02,2026-03-13,5756
7267.T,2003-01-02,2026-03-13,5756
7269.T,2003-01-02,2026-03-13,5756
7270.T,2003-01-02,2026-03-13,5756
7272.T,2003-01-02,2026-03-13,5756
7453.T,2003-01-02,2026-03-13,5756
7731.T,2003-01-02,2026-03-13,5756
7733.T,2003-01-02,2026-03-13,5756
7735.T,2003-01-02,2026-03-13,5756
7741.T,2003-01-02,2026-03-13,5756
7751.T,2003-01-02,2026-03-13,5756
7752.T,2003-01-02,2026-03-13,5756
7762.T,2003-01-02,2026-03-13,5756
7832.T,2003-01-02,2026-03-13,5756
7911.T,2003-01-02,2026-03-13,5756
7912.T,2003-01-02,2026-03-13,5756
7951.T,2003-01-02,2026-03-13,5756
7974.T,2003-01-02,2026-03-13,5756
8001.T,2003-01-02,2026-03-13,5756
8002.T,2003-01-02,2026-03-13,5756
8015.T,2003-01-02,2026-03-13,5756
8031.T,2003-01-02,2026-03-13,5756
8035.T,2003-01-02,2026-03-13,5756
8053.T,2003-01-02,2026-03-13,5756
8058.T,2003-01-02,2026-03-13,5756
8233.T,2003-01-02,2026-03-13,5756
8252.T,2003-01-02,2026-03-13,5756
8253.T,2003-01-02,2026-03-13,5756
8267.T,2003-01-02,2026-03-13,5756
8303.T,2025-12-17,2026-03-13,57
8304.T,2006-11-14,2026-03-13,4748
8306.T,2005-09-29,2026-03-13,5041
8308.T,2003-01-02,2026-03-13,5756
8309.T,2003-01-02,2026-03-13,5756
8316.T,2003-01-02,2026-03-13,5756
8331.T,2003-01-02,2026-03-13,5756
8354.T,2003-01-02,2026-03-13,5756
8411.T,2003-03-12,2026-03-13,5707
8591.T,2003-01-02,2026-03-13,5756
8601.T,2003-01-02,2026-03-13,5756
8604.T,2003-01-02,2026-03-13,5756
8628.T,2003-01-02,2026-03-13,5756
8630.T,2010-04-01,2026-03-13,3921
8697.T,2008-09-05,2026-03-13,4301
8725.T,2008-04-01,2026-03-13,4410
8729.T,2025-09-29,2026-03-13,111
8750.T,2010-04-01,2026-03-13,3921
8766.T,2003-01-02,2026-03-13,5756
8795.T,2004-04-01,2026-03-13,5431
8801.T,2003-01-02,2026-03-13,5756
8802.T,2003-01-02,2026-03-13,5756
8803.T,2003-01-02,2026-03-13,5756
8804.T,2003-01-02,2026-03-13,5756
8830.T,2003-01-02,2026-03-13,5756
9001.T,2003-01-02,2026-03-13,5756
9005.T,2003-01-02,2026-03-13,5756
9007.T,2003-01-02,2026-03-13,5756
9008.T,2003-01-02,2026-03-13,5756
9009.T,2003-01-02,2026-03-13,5756
9020.T,2003-01-02,2026-03-13,5756
9021.T,2003-01-02,2026-03-13,5756
9022.T,2003-01-02,2026-03-13,5756
9064.T,2003-01-02,2026-03-13,5756
9101.T,2004-11-05,2026-03-13,5275
9104.T,2003-01-02,2026-03-13,5756
9107.T,2003-01-02,2026-03-13,5756
9147.T,2022-01-04,2026-03-13,1025
9201.T,2003-01-02,2026-03-13,5756
9202.T,2003-01-02,2026-03-13,5756
9301.T,2003-01-02,2026-03-13,5756
9412.T,2003-01-02,2026-03-13,5756
9432.T,2003-01-02,2026-03-13,5756
9433.T,2003-01-02,2026-03-13,5756
9434.T,2018-12-19,2026-03-13,1762
9501.T,2003-01-02,2026-03-13,5756
9502.T,2003-01-02,2026-03-13,5756
9503.T,2003-01-02,2026-03-13,5756
9531.T,2003-01-02,2026-03-13,5756
9532.T,2003-01-02,2026-03-13,5756
9602.T,2003-01-02,2026-03-13,5756
9605.T,2003-01-02,2026-03-13,5756
9735.T,2003-01-02,2026-03-13,5756
9766.T,2003-01-02,2026-03-13,5756
9843.T,2003-01-02,2026-03-13,5756
9983.T,2003-01-02,2026-03-13,5756
9984.T,2003-01-02,2026-03-13,5756
